适用的包,属性类型,属性ID,Value,ValueID
类目公域行为,产地,21299,阿联酋,4003960
类目公域行为,产地,21299,奥地利,3909606
类目公域行为,产地,21299,澳大利亚,27015
类目公域行为,产地,21299,澳门特别行政区,3296648
类目公域行为,产地,21299,保加利亚,3284903
类目公域行为,产地,21299,比利时,3620977
类目公域行为,产地,21299,波兰,3857691
类目公域行为,产地,21299,朝鲜,10961557
类目公域行为,产地,21299,丹麦,39486
类目公域行为,产地,21299,德国,27413
类目公域行为,产地,21299,俄罗斯,3314460
类目公域行为,产地,21299,法国,27412
类目公域行为,产地,21299,芬兰,43785
类目公域行为,产地,21299,韩国,27019
类目公域行为,产地,21299,荷兰,39274
类目公域行为,产地,21299,加拿大,27410
类目公域行为,产地,21299,黎巴嫩,17828418
类目公域行为,产地,21299,马来西亚,3286452
类目公域行为,产地,21299,美国,27409
类目公域行为,产地,21299,秘鲁,52999
类目公域行为,产地,21299,摩洛哥,3292344
类目公域行为,产地,21299,南非,3274954
类目公域行为,产地,21299,葡萄牙,39276
类目公域行为,产地,21299,其他/other,14863995
类目公域行为,产地,21299,日本,27023
类目公域行为,产地,21299,瑞典,27415
类目公域行为,产地,21299,瑞士,3255100
类目公域行为,产地,21299,斯洛文尼亚,55482322
类目公域行为,产地,21299,泰国,27024
类目公域行为,产地,21299,坦桑尼亚,50203075
类目公域行为,产地,21299,土耳其,39488
类目公域行为,产地,21299,西班牙,27424
类目公域行为,产地,21299,希腊,3298620
类目公域行为,产地,21299,香港特别行政区,3296647
类目公域行为,产地,21299,新加坡,43446
类目公域行为,产地,21299,新西兰,43444
类目公域行为,产地,21299,匈牙利,6897023
类目公域行为,产地,21299,以色列,43550
类目公域行为,产地,21299,意大利,39865108
类目公域行为,产地,21299,印度,27026
类目公域行为,产地,21299,印度尼西亚,3355806
类目公域行为,产地,21299,英国,27411
类目公域行为,产地,21299,越南,27027
类目公域行为,产地,21299,中国,27013
类目公域行为,产地,21299,中国大陆,27772
类目公域行为,产地,21299,中国台湾,4273483
类目公域行为,防晒指数,1627555,PA++,7811746
类目公域行为,防晒指数,1627555,SPF1-10,212464644
类目公域行为,防晒指数,1627555,SPF11-20,212464645
类目公域行为,防晒指数,1627555,SPF15,3259969
类目公域行为,防晒指数,1627555,SPF21-30,212454983
类目公域行为,防晒指数,1627555,SPF30+,3684425
类目公域行为,防晒指数,1627555,SPF30+++,23895468038
类目公域行为,防晒指数,1627555,SPF35,3259973
类目公域行为,防晒指数,1627555,SPF50,3259975
类目公域行为,防晒指数,1627555,SPF50+,11507778
类目公域行为,防晒指数,1627555,无,10010
类目公域行为,功效,122216905,保湿,84461
类目公域行为,功效,122216905,淡化黑眼圈,3372413
类目公域行为,功效,122216905,淡化眼袋,29310443
类目公域行为,功效,122216905,淡纹,11564363
类目公域行为,功效,122216905,弹润,50640149
类目公域行为,功效,122216905,防紫外线,3231020
类目公域行为,功效,122216905,改善黯沉,37612399
类目公域行为,功效,122216905,护理,3371948
类目公域行为,功效,122216905,减少色素沉积,35855505585
类目公域行为,功效,122216905,紧致,3321481
类目公域行为,功效,122216905,净肤,3476668
类目公域行为,功效,122216905,抗敏感,84462
类目公域行为,功效,122216905,抗皱,3259925
类目公域行为,功效,122216905,控油,84463
类目公域行为,功效,122216905,美白,84460
类目公域行为,功效,122216905,美容修饰,46528902
类目公域行为,功效,122216905,平衡酸碱度,27292777
