适用的包,适用的行为,场景名称,ID,Value,排序
效果推广,曝光,货品运营,19111,376,1
效果推广,曝光,关键词推广(原淘内广告/直通车),15403,371,2
效果推广,曝光,精准人群推广(整合原消费者运营),15405,372,3
效果推广,曝光,获客易,15386,144,4
效果推广,曝光,其他场景推广-全店智投(原全店推),15394,361,5
效果推广,曝光,其他场景推广-活动加速,15392,154,6
效果推广,曝光,其他场景推广-多目标直投,19110,427,7
效果推广,曝光,其他场景推广-其他(对应原服务商场景),15396,-100,8
效果推广,曝光,货品运营-测款快,15348,158,9
效果推广,曝光,消费者运营-拉新快,15374,78,10
效果推广,曝光,货品运营-货品加速,15369,114,11
效果推广,曝光,货品运营-上新快,15363,105,12
效果推广,曝光,消费者运营-会员快,15378,133,13
效果推广,曝光,消费者运营-粉丝快,15390,407,14
效果推广,曝光,消费者运营-追投快,15388,189,15
效果推广,曝光,消费者运营-人群击穿,15382,370,16
效果推广,曝光,原万相台-电商场景,15401,-999,17
效果推广,点击,货品运营,19113,376,1
效果推广,点击,关键词推广(原淘内广告/直通车),15402,371,2
效果推广,点击,精准人群推广(整合原消费者运营),15406,372,3
效果推广,点击,获客易,15387,144,4
效果推广,点击,其他场景推广-全店智投(原全店推),15395,361,5
效果推广,点击,其他场景推广-活动加速,15393,154,6
效果推广,点击,其他场景推广-多目标直投,19112,427,7
效果推广,点击,其他场景推广-其他(对应原服务商场景),15400,-100,8
效果推广,点击,货品运营-测款快,15349,158,9
效果推广,点击,消费者运营-拉新快,15375,78,10
效果推广,点击,货品运营-货品加速,15370,114,11
效果推广,点击,货品运营-上新快,15364,105,12
效果推广,点击,消费者运营-会员快,15379,133,13
效果推广,点击,消费者运营-粉丝快,15391,407,14
效果推广,点击,消费者运营-追投快,15389,189,15
效果推广,点击,消费者运营-人群击穿,15383,370,16
效果推广,点击,原万相台-电商场景,15402,-999,17
效果推广,观看,超级直播,15397,108,1
效果推广,观看,超级短视频,15398,183,2
效果推广,观看,短直联动,15399,341,3
品牌推广,点击,UD全域品牌营销-超级亮相,20212,395,1
品牌推广,点击,淘内展示营销 - 人群击穿,20213,389,2
品牌推广,点击,淘内展示营销 - 赢搜通,19957,78,3
品牌推广,点击,淘内展示营销 - 品牌闪购,19956,76,4
品牌推广,点击,一搜即现,19487,353,5
品牌推广,点击,户外智能屏,19280,72,6
品牌推广,点击,一购必现,19282,66,7
品牌推广,点击,集团内投,19284,77,8
品牌推广,点击,UD全域品牌营销-品牌定制（原UniDesk-品牌渠道）,15349,60,9
品牌推广,点击,淘内展示营销-品牌特秀（原品牌特秀）,15364,49,10
品牌推广,点击,淘内展示营销-Showmax,15370,50,11
品牌推广,点击,淘内展示营销-手淘开屏,15375,74,12
品牌推广,点击,UD全域品牌营销-超级全域通,15379,73,13
品牌推广,点击,UD全域品牌营销-单媒体营销（原优酷广告）,15383,70,14
品牌推广,点击,淘内展示营销 - 竞争卡位,20090,77,15
品牌推广,曝光,UD全域品牌营销-超级亮相,20216,395,1
品牌推广,曝光,淘内展示营销 - 人群击穿,20215,389,2
品牌推广,曝光,淘内展示营销 - 赢搜通,20083,78,3
品牌推广,曝光,淘内展示营销 - 品牌闪购,20084,76,4
品牌推广,曝光,一搜即现,19488,353,5
品牌推广,曝光,户外智能屏,19281,72,6
品牌推广,曝光,一购必现,19283,66,7
品牌推广,曝光,集团内投,19285,77,8
品牌推广,曝光,UD全域品牌营销-品牌定制（原UniDesk-品牌渠道）,15350,60,9
品牌推广,曝光,淘内展示营销-品牌特秀（原品牌特秀）,15365,49,10
品牌推广,曝光,淘内展示营销-Showmax,15371,50,11
品牌推广,曝光,淘内展示营销-手淘开屏,15376,74,12
品牌推广,曝光,UD全域品牌营销-超级全域通,15380,73,13
品牌推广,曝光,UD全域品牌营销-单媒体营销（原优酷广告）,15384,70,14
品牌推广,曝光,淘内展示营销 - 竞争卡位,20091,77,15
