适用的包,类目名称,cateId
类目公域行为,3C数码配件>USB数码周边,50018909
类目公域行为,3C数码配件>USB数码周边>USB暖手套/暖脚鞋,50018927
类目公域行为,3C数码配件>家电影音周边配件,50011826
类目公域行为,3C数码配件>家电影音周边配件>3D立体眼镜,50018937
类目公域行为,3C数码配件>其它配件,50008681
类目公域行为,3C数码配件>摄像机配件,50024103
类目公域行为,3C数码配件>手机配件,50024094
类目公域行为,3C数码配件>手机配件>手机保护套/壳,150704
类目公域行为,3C数码配件>手机配件>手机支架/手机座,150708
类目公域行为,3C数码配件>数码相框,50008482
类目公域行为,OTC药品/国际医药>国际医药,124984002
类目公域行为,OTC药品/国际医药>国际医药>国际非处方药>国际耳鼻喉药品,201921103
类目公域行为,OTC药品/国际医药>国际医药>国际非处方药>国际口腔药品,201916704
类目公域行为,OTC药品/国际医药>国际医药>国际非处方药>国际皮肤科药品,124966004
类目公域行为,OTC药品/国际医药>国际医药>国际非处方药>国际眼科药品,124998001
类目公域行为,ZIPPO/瑞士军刀/眼镜>滴眼液、护眼用品,50011896
类目公域行为,ZIPPO/瑞士军刀/眼镜>光学眼镜,126412005
类目公域行为,ZIPPO/瑞士军刀/眼镜>光学眼镜>眼镜架,50011894
类目公域行为,ZIPPO/瑞士军刀/眼镜>太阳眼镜,50010368
类目公域行为,包装>礼品包装,125024005
类目公域行为,包装>礼品包装>礼品袋/塑料袋,50009190
类目公域行为,包装>礼品包装>礼品盒,50009189
类目公域行为,包装>礼品包装>中秋礼品包装,201183401
类目公域行为,包装>纸类包装,127808006
类目公域行为,包装>纸类包装>牛皮纸袋,201152314
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品,123378001
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外保健机能食品>机能性表示食品,201186603
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外骨关节营养品>骨胶原蛋白,50026822
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外抗衰老营养品>PQQ/吡咯喹啉醌,201543603
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外口服美容营养品>胶原蛋白,50026826
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外口服美容营养品>口服美容营养品,127764006
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外口服美容营养品>葡萄籽提取物,50026966
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外口服纤体营养品>酵素,50026893
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外免疫力营养品>维生素C,50026924
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外内分泌营养品>玛咖提取物,122312004
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外心血管营养品>DHA/EPA/DPA,50050228
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外运动纤体食品>海外保健体重管理,201308308
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外综合营养品>其它植物提取物,50026946
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>海外综合营养品>维生素/矿物质/营养包,50026926
类目公域行为,保健食品/膳食营养补充食品>海外膳食营养补充食品>其他膳食营养补充食品>其他膳食营养补充剂,50050237
类目公域行为,保健食品/膳食营养补充食品>蓝帽子保健食品,201869702
类目公域行为,保健食品/膳食营养补充食品>蓝帽子保健食品>综合功效保健食品,123454001
类目公域行为,保健食品/膳食营养补充食品>普通膳食营养食品,125046003
类目公域行为,保健食品/膳食营养补充食品>普通膳食营养食品>蛋白粉/氨基酸/胶原蛋白>胶原蛋白,125060018
类目公域行为,保健食品/膳食营养补充食品>普通膳食营养食品>菌/菇/酵素>酵素,125032016
类目公域行为,保健食品/膳食营养补充食品>普通膳食营养食品>能量补充剂型饮料>保健品饮品,201379616
类目公域行为,保健食品/膳食营养补充食品>普通膳食营养食品>其他膳食营养补充食品>其他膳食营养补充剂,125080031
类目公域行为,保健用品>急救用品,122314002
类目公域行为,保健用品>戒烟产品,123674001
类目公域行为,保健用品>面部健康,122372002
类目公域行为,标准件/零部件/工业耗材>气动元件/系统/装置,127602004
类目公域行为,标准件/零部件/工业耗材>气动元件/系统/装置>气缸,127688002
类目公域行为,彩妆/香水/美妆工具>CC霜,125458001
类目公域行为,彩妆/香水/美妆工具>彩妆套装（新）,201161605
类目公域行为,彩妆/香水/美妆工具>彩妆套装（新）>彩妆盘,121388008
类目公域行为,彩妆/香水/美妆工具>彩妆套装（新）>彩妆套装,121452004
类目公域行为,彩妆/香水/美妆工具>唇部彩妆,201166702
类目公域行为,彩妆/香水/美妆工具>唇部彩妆>唇笔/唇线笔,50010801
类目公域行为,彩妆/香水/美妆工具>唇部彩妆>唇彩/唇蜜/唇釉/唇泥/唇霜,50010807
类目公域行为,彩妆/香水/美妆工具>唇部彩妆>唇膏/口红,50010808
类目公域行为,彩妆/香水/美妆工具>隔离/妆前/打底,50010793
类目公域行为,彩妆/香水/美妆工具>旅行装/体验装,125172008
类目公域行为,彩妆/香水/美妆工具>美甲工具,121460005
类目公域行为,彩妆/香水/美妆工具>美容工具,122438001
类目公域行为,彩妆/香水/美妆工具>美容工具>化妆/美容工具,50010817
类目公域行为,彩妆/香水/美妆工具>美容工具>化妆棉/湿敷棉,201169003
类目公域行为,彩妆/香水/美妆工具>美容工具>化妆刷,121480026
类目公域行为,彩妆/香水/美妆工具>美容工具>化妆套刷,121400018
类目公域行为,彩妆/香水/美妆工具>美容工具>假睫毛,121386023
类目公域行为,彩妆/香水/美妆工具>美容工具>睫毛夹,202063205
类目公域行为,彩妆/香水/美妆工具>美容工具>美妆蛋/扑/海绵,202030601
类目公域行为,彩妆/香水/美妆工具>美容工具>面膜纸,202051510
类目公域行为,彩妆/香水/美妆工具>美容工具>刷包,121408024
类目公域行为,彩妆/香水/美妆工具>美容工具>双眼皮胶水,121480003
类目公域行为,彩妆/香水/美妆工具>美容工具>双眼皮贴,121420006
类目公域行为,彩妆/香水/美妆工具>美容工具>修眉刀,202051708
类目公域行为,彩妆/香水/美妆工具>美容工具>假睫毛工具>假睫毛辅助工具,121456021
类目公域行为,彩妆/香水/美妆工具>美容工具>假睫毛工具>胶水,121474025
类目公域行为,彩妆/香水/美妆工具>面部彩妆,201164006
类目公域行为,彩妆/香水/美妆工具>面部彩妆>BB霜,50013794
类目公域行为,彩妆/香水/美妆工具>面部彩妆>定妆喷雾,201310801
类目公域行为,彩妆/香水/美妆工具>面部彩妆>粉饼,50010790
类目公域行为,彩妆/香水/美妆工具>面部彩妆>粉底液/膏,50010789
类目公域行为,彩妆/香水/美妆工具>面部彩妆>粉霜,202059209
类目公域行为,彩妆/香水/美妆工具>面部彩妆>高光,121382014
类目公域行为,彩妆/香水/美妆工具>面部彩妆>隔离/妆前/素颜霜,121426007
类目公域行为,彩妆/香水/美妆工具>面部彩妆>蜜粉/散粉,50010792
类目公域行为,彩妆/香水/美妆工具>面部彩妆>气垫,202061807
类目公域行为,彩妆/香水/美妆工具>面部彩妆>腮红/胭脂,50010805
类目公域行为,彩妆/香水/美妆工具>面部彩妆>阴影,121388007
类目公域行为,彩妆/香水/美妆工具>面部彩妆>遮瑕,50010803
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）,121398020
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士BB霜,121396024
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士彩妆套装,121448016
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士唇膏,121416019
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士粉底,121388025
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士隔离乳/霜,121434025
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士眉笔,121410025
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士蜜粉,121416020
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士眼影,121402018
类目公域行为,彩妆/香水/美妆工具>男士彩妆（新）>男士遮瑕,121408022
类目公域行为,彩妆/香水/美妆工具>其它彩妆,50010814
类目公域行为,彩妆/香水/美妆工具>香水/香水用品,201834201
类目公域行为,彩妆/香水/美妆工具>香水/香水用品>试香礼盒/工具,201802004
类目公域行为,彩妆/香水/美妆工具>香水/香水用品>香水,50010815
类目公域行为,彩妆/香水/美妆工具>香水/香水用品>香水套装,201803104
类目公域行为,彩妆/香水/美妆工具>眼部彩妆,201161714
类目公域行为,彩妆/香水/美妆工具>眼部彩妆>睫毛膏,50010794
类目公域行为,彩妆/香水/美妆工具>眼部彩妆>眉笔/眉粉/眉膏,50010798
类目公域行为,彩妆/香水/美妆工具>眼部彩妆>卧蚕笔,202052419
类目公域行为,彩妆/香水/美妆工具>眼部彩妆>眼线,50010797
类目公域行为,彩妆/香水/美妆工具>眼部彩妆>眼影,50010796
类目公域行为,彩妆/香水/美妆工具>指甲油/美甲产品（新）,121398006
类目公域行为,彩妆/香水/美妆工具>指甲油/美甲产品（新）>甲油胶,121364007
类目公域行为,彩妆/香水/美妆工具>指甲油/美甲产品（新）>指甲油,201883004
类目公域行为,餐饮具>杯子/水杯/水壶,122996002
类目公域行为,餐饮具>杯子/水杯/水壶>杯垫,50003448
类目公域行为,餐饮具>咖啡器具,122974003
类目公域行为,餐饮具>咖啡器具>咖啡杯,50002254
类目公域行为,厨房/烹饪用具>厨房储物,50008281
类目公域行为,厨房/烹饪用具>厨房储物>储物瓶罐/厨房储物器皿>密封罐,50012922
类目公域行为,厨房/烹饪用具>厨用工具,202007901
类目公域行为,厨房/烹饪用具>厨用工具>DIY模具,50012490
类目公域行为,厨房/烹饪用具>厨用工具>寿司DIY用具>寿司帘,50006857
类目公域行为,厨房/烹饪用具>烹饪用具,50010101
类目公域行为,厨房/烹饪用具>烹饪用具>刀具>水果削皮器,50006774
类目公域行为,处方药>中药用药,201383501
类目公域行为,处方药>中药用药>中药配方,201381222
类目公域行为,传统滋补营养品>滋补养生原料,50020296
类目公域行为,传统滋补营养品>滋补养生原料>传统滋补品其他,50007215
类目公域行为,床上用品>被子,126038001
类目公域行为,床上用品>被子>棉花被,126054001
类目公域行为,床上用品>床单,121458010
类目公域行为,电子元器件市场>电机/马达,124816005
类目公域行为,电子元器件市场>电机/马达>伺服电机/伺服系统/舵机,125192005
类目公域行为,电子元器件市场>集成电路（IC）,50018869
类目公域行为,电子元器件市场>集成电路（IC）>芯片,50006523
类目公域行为,电子元器件市场>开源硬件/电子DIY/创客,125142004
类目公域行为,电子元器件市场>开源硬件/电子DIY/创客>DIY套件/DIY材料/电子积木,125124009
类目公域行为,电子元器件市场>无源元件,50002918
类目公域行为,电子元器件市场>无源元件>其它元器件,50002928
类目公域行为,服饰配件/皮带/帽子/围巾>防晒服配,201827301
类目公域行为,服饰配件/皮带/帽子/围巾>防晒服配>防晒袖套,201302802
类目公域行为,服饰配件/皮带/帽子/围巾>婚纱礼服配件,164206
类目公域行为,服饰配件/皮带/帽子/围巾>婚纱礼服配件>头纱,50003811
类目公域行为,服饰配件/皮带/帽子/围巾>帽子,302910
类目公域行为,服饰配件/皮带/帽子/围巾>围巾/丝巾/披肩,50007003
类目公域行为,服饰配件/皮带/帽子/围巾>运动首饰,121462007
类目公域行为,服饰配件/皮带/帽子/围巾>运动首饰>指环,121462008
类目公域行为,个人护理/保健/按摩器材>按摩器材,50018398
类目公域行为,个人护理/保健/按摩器材>按摩器材>眼部按摩器/润眼仪,50018402
类目公域行为,个人护理/保健/按摩器材>各类配件/耗材,50011877
类目公域行为,个人护理/保健/按摩器材>各类配件/耗材>美发工具配件>卷/直发器配件,50011887
类目公域行为,个人护理/保健/按摩器材>各类配件/耗材>清洁美容工具配件>剃须刀配件,50011878
类目公域行为,个人护理/保健/按摩器材>家用保健器材,50012083
类目公域行为,个人护理/保健/按摩器材>家用保健器材>足浴器,50005180
类目公域行为,个人护理/保健/按摩器材>美发工具,50023686
类目公域行为,个人护理/保健/按摩器材>美发工具>美发/烫发/染发器（梳）,201516401
类目公域行为,个人护理/保健/按摩器材>美发工具>其它美发工具,50024629
类目公域行为,个人护理/保健/按摩器材>其它个人护理,350210
类目公域行为,个人护理/保健/按摩器材>洗护/清洁泡沫机/洗手机,127494005
类目公域行为,购物金>美妆购物金,201317202
类目公域行为,购物金>美妆购物金>美容护肤购物金,201329623
类目公域行为,盒马>头发护理,126196032
类目公域行为,盒马>头发护理>护发素及头发护理产品>免洗精华乳/凝萃乳,126200137
类目公域行为,户外/登山/野营/旅行用品>垂钓装备,50014023
类目公域行为,户外/登山/野营/旅行用品>垂钓装备>其他垂钓用品,50014099
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品,50014764
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>旅行洗漱套装,201213801
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>洗漱包/化妆包,50015985
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>香皂/洗发水/沐浴露/洗面乳,50019771
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>一次性袜子,200924005
类目公域行为,户外/登山/野营/旅行用品>洗漱清洁/护理用品>旅行洗护用品>旅行沐浴露,121386013
