适用的包,行为名称,ID,Value,适用的渠道
类目公域行为,购买,18919,CATE_PUBLIC_PAY,
类目公域行为,预售,18929,CATE_PUBLIC_SUBPAY,
类目公域行为,浏览,18930,CATE_PUBLIC_VIEWITEM,
类目公域行为,收藏,18931,CATE_PUBLIC_COLLECTITEM,
类目公域行为,加购,18932,CATE_PUBLIC_CART,
类目公域行为,评论,18933,CATE_PUBLIC_ITEM_FEED,
类目商品行为,购买,19299,CATE_PUBLIC_PAY,
类目商品行为,预售,19300,CATE_PUBLIC_SUBPAY,
类目商品行为,浏览,19301,CATE_PUBLIC_VIEWITEM,
类目商品行为,收藏,19302,CATE_PUBLIC_COLLECTITEM,
类目商品行为,加购,19303,CATE_PUBLIC_CART,
类目商品行为,评论,19304,CATE_PUBLIC_ITEM_FEED,
AIPL状态,认知,15184,D_AWARENESS,
AIPL状态,兴趣,15185,D_INTEREST,
AIPL状态,购买,15186,D_BUY,
AIPL状态,忠诚,15187,D_ROYALTY,
商品行为,浏览,16628,VIEW_ITEM,所有销售渠道
商品行为,收藏,16649,COLLECT_ITEM,所有销售渠道
商品行为,加购,16670,CART,所有销售渠道
商品行为,预售,16691,PREPAY,所有销售渠道
商品行为,购买,16712,PAY,所有销售渠道
商品行为,退款,16726,REFUND,所有销售渠道
商品行为,浏览,16625,VIEW_ITEM,天猫
商品行为,收藏,16646,COLLECT_ITEM,天猫
商品行为,加购,16667,CART,天猫
商品行为,预售,16688,PREPAY,天猫
商品行为,购买,16709,PAY,天猫
商品行为,退款,16723,REFUND,天猫
商品行为,浏览,16623,VIEW_ITEM,天猫国际
商品行为,收藏,16644,COLLECT_ITEM,天猫国际
商品行为,加购,16665,CART,天猫国际
商品行为,预售,16686,PREPAY,天猫国际
商品行为,购买,16707,PAY,天猫国际
商品行为,退款,16721,REFUND,天猫国际
商品行为,浏览,16629,VIEW_ITEM,天猫国际直营
商品行为,收藏,16650,COLLECT_ITEM,天猫国际直营
商品行为,加购,16604,CART,天猫国际直营
商品行为,预售,16692,PREPAY,天猫国际直营
商品行为,购买,16713,PAY,天猫国际直营
商品行为,退款,16727,REFUND,天猫国际直营
商品行为,浏览,16626,VIEW_ITEM,全球购
商品行为,收藏,16647,COLLECT_ITEM,全球购
商品行为,加购,16668,CART,全球购
商品行为,预售,16689,PREPAY,全球购
商品行为,购买,16710,PAY,全球购
商品行为,退款,16724,REFUND,全球购
商品行为,浏览,16627,VIEW_ITEM,淘宝集市
商品行为,收藏,16648,COLLECT_ITEM,淘宝集市
商品行为,加购,16669,CART,淘宝集市
商品行为,预售,16690,PREPAY,淘宝集市
商品行为,购买,16711,PAY,淘宝集市
商品行为,退款,16725,REFUND,淘宝集市
